X,Y,OBJECTID,ifc_uid,Type_Description,Session_Key,Object_Metadata,Botanical_ID,Planning_Ref_No,Number_Trees,Data_Sheet_URL,created_user,created_date,last_edited_user,last_edited_date,address,full_address,lat,long,place_id
524427.9857,5250568.906299999915,71,1485294,PLANNING Significant Trees,Sketch,,Euc. morrisbyi,W5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W5 136 Wentworth St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,136 Wentworth St,"Wellesley Park, 136 Wentworth St, South Hobart TAS 7004, Australia",-42.8977291,147.2985664,ChIJb2vD2uV1bqoRT45rKhrWPf0
526576.70920000039041,5251443.234299999662,72,1485295,PLANNING Significant Trees,Sketch,,Euc. globulus,D1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D1 96-120 Davey St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,96-120 Davey St,"Anglesea Barracks, 96-120 Davey St, Hobart TAS 7000, Australia",-42.8893505,147.3259588,ChIJNx-RV4l1bqoRcdB_mu3948U
525710.923999999649823,5251063.012699999847,73,1483063,PLANNING Significant Trees,Sketch,,Quercus robur,M2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M2 377 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,377 Macquarie St,"377 Macquarie St, South Hobart TAS 7004, Australia",-42.8922668,147.3147339,ChIJUfiLlPJ1bqoRP8qFTE99Q7M
525679.745000000111759,5250904.6209,74,1479965,PLANNING Significant Trees,Sketch,,Cupressus tortulosa,A1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/A1 20 Adelaide St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,20 Adelaide St,"20 Adelaide St, South Hobart TAS 7004, Australia",-42.8941189,147.3146426,ChIJpzhJs_N1bqoROEIEbeBqjsQ
520701.873599999584258,5247548.9417,79,1480348,PLANNING Significant Trees,Sketch,,Nothofagus cunninghamii,G1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/G1 50 Grays Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,50 Grays Rd,"50 Grays Rd, Fern Tree TAS 7054, Australia",-42.92445439999999,147.2534081,ChIJq0pw50l2bqoRE-8_ztoJqOM
526796.70920000039041,5253513.659199999645,80,1480680,PLANNING Significant Trees,Sketch,,Ulmus procera,D13,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D13 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,2 Davies Ave,"2 Davies Ave, Hobart TAS 7000, Australia",-42.8739242,147.3291144,ChIJSaLpZXZ1bqoRrHmbUxWHla4
526391.406299999915,5251522.00569999963,81,1483065,PLANNING Significant Trees,Sketch,,Ulmus parvifolia,M4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M4 212-218 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,212-218 Macquarie St,"St Michaels Collegiate School, 212-218 Macquarie St, Hobart TAS 7000, Australia",-42.8882302,147.3240425,ChIJ6_MqmI51bqoRC3YUtx3MRlc
524189.736399999819696,5255283.613699999638,82,1483066,PLANNING Significant Trees,Sketch,,Aesculus hippocastanum,S2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S2 12 St Johns Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,12 St Johns Ave,"12 St Johns Ave, New Town TAS 7008, Australia",-42.8542832,147.2972217,ChIJLXWfMeV0bqoRqZMLQlbsgjk
526836.9353,5254441.363499999978,83,1481951,PLANNING Significant Trees,Sketch,,Corymbia maculata,L22,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L22 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,11 Lower Domain Rd,"Royal Tas Botanical Gardens, 11 Lower Domain Rd, Queens Domain TAS 7000, Australia",-42.8644675,147.3307048,ChIJKdntzBJ1bqoRf_qx85TSrkM
526824.852900000289083,5254470.1546,84,1481952,PLANNING Significant Trees,Sketch,,Euc. cladocalyx,L23,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L23 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,11 Lower Domain Rd,"Royal Tas Botanical Gardens, 11 Lower Domain Rd, Queens Domain TAS 7000, Australia",-42.8644675,147.3307048,ChIJKdntzBJ1bqoRf_qx85TSrkM
526898.511300000362098,5254032.525799999945,85,1482098,PLANNING Significant Trees,Sketch,,Pseudotsuga menziesii,L24,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L24 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,11 Lower Domain Rd,"Royal Tas Botanical Gardens, 11 Lower Domain Rd, Queens Domain TAS 7000, Australia",-42.8644675,147.3307048,ChIJKdntzBJ1bqoRf_qx85TSrkM
526945.934500000439584,5254054.148299999535,86,1482099,PLANNING Significant Trees,Sketch,,Cephalotaxus harringtonia,L10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L10 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z,11 Lower Domain Rd,"Royal Tas Botanical Gardens, 11 Lower Domain Rd, Queens Domain TAS 7000, Australia",-42.8644675,147.3307048,ChIJKdntzBJ1bqoRf_qx85TSrkM
